episode,reward,length,success,epsilon,replay_size,avg_reward,avg_length,success_rate,avg_loss
193,-75.34999999999998,23,True,0.7495994991284238,28993,-1556.8600000000006,139.86,50.0,70.99171314239501
194,-2477.1000000000013,200,False,0.7484750998797313,29193,-1560.4320000000005,139.86,50.0,60.074571180343625
195,-2538.250000000003,143,True,0.7473523872299117,29336,-1568.0005000000006,139.29,51.0,68.69512720108033
196,-2.8500000000000014,7,True,0.7462313586490669,29343,-1551.1120000000008,137.36,52.0,67.29433456420898
197,-190.7500000000001,29,True,0.7451120116110933,29372,-1536.5655000000004,135.65,53.0,66.20893070220947
198,-1745.999999999998,200,False,0.7439943435936767,29572,-1524.0665000000006,135.65,53.0,82.42741243362427
199,10.25,5,True,0.7428783520782862,29577,-1519.6110000000006,135.18,53.0,81.37635431289672
200,-2608.6000000000035,200,False,0.7417640345501688,29777,-1521.3560000000007,135.18,53.0,63.02374788284302
201,-152.1500000000001,39,True,0.7406513884983436,29816,-1507.8845000000008,133.69,53.0,69.38524076461792
202,-3144.800000000006,200,False,0.7395404114155961,30016,-1518.8265000000006,133.69,53.0,70.38907278060913
203,-1758.399999999999,200,False,0.7384311007984727,30216,-1535.8180000000007,135.5,52.0,57.484408893585204
204,-919.549999999998,95,True,0.7373234541472751,30311,-1521.6435000000006,134.45,53.0,69.38192972183228
205,-2374.9000000000005,200,False,0.7362174689660542,30511,-1521.8785000000007,134.45,53.0,78.18469570159913
206,-740.1999999999989,76,True,0.7351131427626052,30587,-1515.0755000000004,133.79,53.0,72.25367364883422
207,-373.20000000000033,82,True,0.7340104730484613,30669,-1496.726500000001,132.75,53.0,74.30514741897584
208,-1081.649999999998,123,True,0.7329094573388887,30792,-1504.533500000001,133.55,53.0,70.926623878479
209,-933.6499999999982,119,True,0.7318100931528804,30911,-1499.3400000000008,132.74,54.0,69.99581983566284
210,-2033.899999999999,180,True,0.7307123780131511,31091,-1503.1810000000007,132.54,55.00000000000001,65.85174831390381
211,-4891.900000000008,200,False,0.7296163094461314,31291,-1536.2850000000005,132.74,54.0,67.53329275131226
212,-42.64999999999998,17,True,0.7285218849819622,31308,-1536.2635000000002,132.75,54.0,67.28860181808471
213,-92.6,14,True,0.7274291021544893,31322,-1518.8545000000004,130.89,55.00000000000001,69.80827592849731
214,-1455.9499999999987,133,True,0.7263379585012576,31455,-1525.315000000001,131.04,55.00000000000001,74.71981184005737
215,-735.3499999999992,79,True,0.7252484515635057,31534,-1502.803500000001,129.83,56.00000000000001,66.40491765975952
216,-2027.8999999999992,200,False,0.7241605788861605,31734,-1523.2915000000007,131.81,55.00000000000001,66.93003232955932
217,-5971.100000000008,200,False,0.7230743380178313,31934,-1572.6770000000006,132.4,54.0,69.94287979125977
